Variable,2025 Actual,Low deterioration / least-bad 2030,Low deterioration / least-bad 2040,Low deterioration / least-bad 2050,Central deterioration 2030,Central deterioration 2040,Central deterioration 2050,High deterioration 2030,High deterioration 2040,High deterioration 2050
real GDP per capita,38360.0,39700.0,39000.0,36500.0,38500.0,36500.0,34000.0,37000.0,34000.0,30000.0
real median living standard,25952.514017,26500.0,25800.0,24700.0,25800.0,25000.0,23300.0,25000.0,23100.0,20800.0
unemployment,7.725,8.5,10.0,12.0,9.1,12.0,14.0,11.3,14.7,17.8
