variable,unit,2025,optimistic_2030_low,optimistic_2030_high,optimistic_2040_low,optimistic_2040_high,optimistic_2050_low,optimistic_2050_high,central_2030_low,central_2030_high,central_2040_low,central_2040_high,central_2050_low,central_2050_high,pessimistic_2030_low,pessimistic_2030_high,pessimistic_2040_low,pessimistic_2040_high,pessimistic_2050_low,pessimistic_2050_high
unemployment_rate,%,7.725,8.3,9.8,9.3,11.8,10.5,13.5,8.8,10.7,10.5,13.8,12.5,16.0,10.2,12.8,13.0,16.5,15.0,20.0
real_gdp_per_capita,"EUR/person, 2020 chain-linked prices",38360.0,38500.0,40500.0,39000.0,43000.0,32000.0,38000.0,37500.0,39500.0,36000.0,40000.0,31500.0,36500.0,35500.0,38000.0,31500.0,36500.0,27000.0,33500.0
real_median_living_standard,"EUR/person/year, constant prices",25952.514017,25800.0,27200.0,25500.0,27000.0,24000.0,25900.0,25200.0,26700.0,24500.0,26200.0,22800.0,25000.0,24200.0,26000.0,22500.0,25000.0,20500.0,24000.0
