source,document_or_series,quality_grade,use,url
Eurostat,une_rt_q,A,Harmonised unemployment statistics,https://ec.europa.eu/eurostat/databrowser/view/une_rt_q/default/table
Eurostat,nama_10_pc,A,GDP per capita in chain-linked volumes,https://ec.europa.eu/eurostat/databrowser/view/nama_10_pc/default/table
INSEE,ERFS_DNV01,A,Median standard of living / income,https://www.insee.fr/en/statistiques/8608103
European Commission,Autumn 2025 Economic Forecast,A,France short-term forecast,https://economy-finance.ec.europa.eu/economic-surveillance-eu-member-states/country-pages-including-country-reports/france/economic-forecast-france_en
Banque de France,Macroeconomic projections June 2026,A,France short-term forecast,https://www.banque-france.fr/system/files/2026-06/Macroeconomic_projections_June_2026.pdf
OECD,Economic Outlook 2025 Issue 2,A,France short-term GDP growth,https://www.oecd.org/en/publications/oecd-economic-outlook-volume-2025-issue-2_9f653ca1-en/full-report/france_9f629187.html
IMF,France 2025 Article IV,A,France short-term GDP growth,https://www.imf.org/en/publications/cr/issues/2025/07/11/france-2025-article-iv-consultation-press-release-staff-report-and-statement-by-the-568520
European Commission,2024 Ageing Report France country fiche,A,Conditional long-run demographic/economic scenario,https://economy-finance.ec.europa.eu/document/download/e412927a-ea31-406d-bb6c-c925914123e9_en?filename=2024-ageing-report-country-fiche-France.pdf
